[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:500], [BatchSize:64], [Frac:0.1], [Time:20230915-183042]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164329]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164602]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164532]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164429]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165005]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165302]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165046]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165238]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164353]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164640]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165113]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165323]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165147]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164449]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-164701]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230918-165416]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-002121]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3, 4]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-002118]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-002122]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3, 4]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-003145]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-003143]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:1000], [BatchSize:64], [Frac:0.1], [Time:20230919-003142]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-002120]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3, 4]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-002119]
[Method:ddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-002122]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-003149]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3, 4]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-003147]
[Method:kddsfl], [Data:cifar10], [Model:resnet18], [Cutpoint:[1, 2, 3]], [Seed:123], [Epoch:2000], [BatchSize:64], [Frac:0.1], [Time:20230919-003151]
